State,Reading,Math,Total SAT
Alabama,593,572,1165
Alaska,547,553,1080
Arizona,563,553,1116
Arkansas,614,594,1208
California,531,524,1055
Colorado,606,595,1201
Connecticut,530,512,1041
Delaware,503,492,996
District of Columbia,482,468,950
Florida,520,497,1017
Georgia,535,515,1050
Hawaii,544,541,1085
Idaho,513,493,1005
Illinois,559,556,1115
Indiana,542,532,1074
Iowa,641,635,1275
Kansas,632,628,1260
Kentucky,631,616,1247
Louisiana,611,586,1198
Maine,513,499,1012
Maryland,536,524,1060
Massachusetts,555,551,1107
Michigan,509,495,1005
Minnesota,644,651,1295
Mississippi,634,607,1242
Missouri,640,631,1271
Montana,605,591,1196
Nebraska,629,625,1253
Nevada,563,553,1116
New Hampshire,532,520,1052
New Jersey,530,526,1056
New Mexico,557,561,1138
New York,528,523,1052
North Carolina,546,535,1081
North Dakota,635,621,1256
Ohio,578,570,1149
Oklahoma,530,517,1047
Oregon,560,548,1108
Pennsylvania,540,531,1071
Puerto Rico,515,487,1003
Rhode Island,539,524,1062
South Carolina,543,521,1064
South Dakota,612,603,1216
Tennessee,623,604,1228
Texas,513,507,1020
Utah,624,614,1238
Vermont,562,551,1114
Virginia,561,541,1102
Virgin Islands,483,476,924
Washington,541,534,1075
West Virginia,558,528,1086
Wisconsin,642,649,1291
Wyoming,626,604,1230
