State,Region,Expenditure,SAT Score,Participation Percent, Participation Categorical,Teacher Salary Adj,Teacher Salary,Student Teacher Ratio,Verbal SAT Score,Math SAT Score
Alabama,South,8773,1165,5,low,57550,49781,15.8,593,572
Alaska,West,18217,1080,38,medium,55011,67443,16.4,547,533
Arizona,West,7495,1116,30,low,46500,45477,17.8,563,553
Arkansas,South,9538,1208,3,low,56135,48220,15.2,614,594
California,West,9258,1055,53,medium,57628,72842,22.5,531,524
Colorado,West,8693,1201,11,low,50647,50039,16.3,606,595
Connecticut,Northeast,17321,1041,100,high,58547,72013,13.1,530,512
Delaware,South,13653,996,100,high,60414,59085,14.8,503,492
Florida,South,8623,1017,83,medium,51463,49199,16,520,497
Georgia,South,9121,1050,61,medium,59746,54190,15.7,535,515
Hawaii,West,11743,1085,55,medium,40246,57431,16.3,544,541
Idaho,West,6761,1005,93,high,51837,45409,19.7,513,493
Illinois,Midwest,12443,1115,9,low,60555,61342,16.3,559,556
Indiana,Midwest,9421,1074,63,medium,57696,50715,17,542,532
Iowa,Midwest,10291,1275,2,low,60868,54416,14.3,641,635
Kansas,Midwest,10011,1260,4,low,54301,49197,14.1,632,628
Kentucky,South,9274,1247,4,low,60927,51666,16.8,631,616
Louisiana,South,10539,1198,4,low,51926,46733,16,611,586
Maine,Northeast,12655,1012,95,high,45374,50229,12.4,513,499
Maryland,South,14086,1060,69,high,60937,66482,14.6,536,524
Massachusetts,Northeast,15321,1107,76,high,63938,76981,13.3,555,551
Michigan,Midwest,10515,1005,100,high,71773,63878,17.5,509,495
Minnesota,Midwest,11065,1295,3,low,59779,56910,15.4,644,651
Mississippi,South,8117,1242,2,low,52000,42744,15.4,634,607
Missouri,Midwest,9702,1271,3,low,53642,47849,12.1,640,631
Montana,West,10662,1196,10,low,54426,51215,13.9,605,591
Nebraska,Midwest,11743,1253,3,low,56756,51364,12.9,629,625
Nevada,West,8026,1116,26,low,57402,56943,17.8,563,553
New Hampshire,Northeast,14050,1052,96,high,51445,58802,11.7,532,520
New Jersey,Northeast,18523,1056,70,high,61030,69330,11.9,530,526
New Mexico,West,9164,1138,11,low,49750,47163,15.3,577,561
New York,Northeast,19529,1052,67,high,58004,77957,12.7,528,523
North Carolina,South,8342,1081,49,medium,52500,47985,15.3,546,535
North Dakota,Midwest,11615,1256,2,low,52825,50237,12.2,635,621
Ohio,Midwest,11276,1149,12,low,63740,56410,17.2,578,570
Oklahoma,South,7914,1047,7,low,51515,44921,16.3,530,517
Oregon,West,9183,1108,43,medium,58145,60064,20.7,560,548
Pennsylvania,Northeast,13445,1071,65,medium,63717,64991,14.5,540,531
Rhode Island,Northeast,14889,1062,71,high,57264,66197,13,539,524
South Carolina,South,9444,1064,50,medium,52878,48542,15.4,543,521
South Dakota,Midwest,8630,1216,3,low,45679,42025,13.8,612,603
Tennessee,South,8588,1228,5,low,56180,48708,15.2,623,604
Texas,South,8261,1020,62,medium,56137,51758,15.2,513,507
Utah,West,6432,1238,3,low,49668,46042,22.8,624,614
Vermont,Northeast,17286,1114,60,medium,52356,58901,9.7,562,551
Virginia,South,10960,1102,65,medium,52191,50834,12.6,561,541
Washington,West,9714,1075,64,medium,50664,52539,19.1,541,534
West Virginia,South,11257,1086,14,low,51199,45977,12.1,558,528
Wisconsin,Midwest,11186,1291,3,low,58825,54766,15.7,642,649
Wyoming,West,15815,1230,3,low,59425,57761,12.4,626,604
