Brand,Brewery,Type,Alcohol Content (%),Calories
Aspen Edge,Adolph Coors,Domestic,4.1,94
Blue Moon,Adolph Coors,Domestic,5.4,171
Keystone Ice,Adolph Coors,Domestic,5.9,142
Keystone Light,Adolph Coors,Domestic,4.13,103
Keystone Premium,Adolph Coors,Domestic,4.43,111
Anchor Porter,Anchor,Domestic,5.6,209
Anchor Steam,Anchor,Domestic,4.9,153
Anheuser Busch Natural Ice,Anheuser Busch,Domestic,5.9,157
Anheuser Busch Natural Light,Anheuser Busch,Domestic,4.2,95
Busch Beer,Anheuser Busch,Domestic,4.6,133
Busch Ice,Anheuser Busch,Domestic,5.9,169
Busch Light,Anheuser Busch,Domestic,4.1,95
Michelob Amber Boch,Anheuser Busch,Domestic,5.2,166
Michelob Beer,Anheuser Busch,Domestic,5,155
Michelob Golden Draft,Anheuser Busch,Domestic,4.7,152
Michelob Golden Draft Light,Anheuser Busch,Domestic,4.1,110
Michelob Honey Lager,Anheuser Busch,Domestic,4.9,175
Michelob Light,Anheuser Busch,Domestic,4.3,113
Michelob Ultra,Anheuser Busch,Domestic,4.1,95
O'Doul's,Anheuser Busch,Domestic,0.4,70
Bard's Gold (Gluten-Free),Bard's Tale Beer Co,Domestic,4.6,155
Big Sky I.P.A.,Big Sky Brewing,Domestic,6.2,195
Big Sky Moose Drool Brown Ale,Big Sky Brewing,Domestic,5.2,177
Big Sky Powder Hound (seasonal),Big Sky Brewing,Domestic,6.2,195
Big Sky Scape Goat Pale Ale,Big Sky Brewing,Domestic,4.7,163
Big Sky Summer Honey Ale (seasonal),Big Sky Brewing,Domestic,4.7,154
Big Sky Trout Slayer Ale,Big Sky Brewing,Domestic,4.7,163
Blatz Beer,Blatz,Domestic,4.8,153
Sam Adams Boston Ale,Boston Beer,Domestic,4.94,160
Sam Adams Boston Lager,Boston Beer,Domestic,4.75,160
Sam Adams Cherry Wheat,Boston Beer,Domestic,5.2,166
Sam Adams Cream Stout,Boston Beer,Domestic,4.69,195
Sam Adams IPA,Boston Beer,Domestic,5.93,175
Sam Adams Light,Boston Beer,Domestic,4.05,119
Sam Adams Pale Ale,Boston Beer,Domestic,5.25,145
Breckenridge Brown Ale,Breckenridge Brewery,Domestic,5.6,196
Breckenridge Red Ale,Breckenridge Brewery,Domestic,5.5,193
Bud Dry,Budweiser,Domestic,5,130
Bud Ice,Budweiser,Domestic,5.5,123
Bud Ice Light,Budweiser,Domestic,5,115
Bud Light,Budweiser,Domestic,4.2,110
Bud Light Lime,Budweiser,Domestic,4.2,116
Bud Light Platinum,Budweiser,Domestic,6,137
Budweiser,Budweiser,Domestic,5,145
Budweiser Black Crown,Budweiser,Domestic,6,146
Budweiser Select,Budweiser,Domestic,4.3,99
Budweiser Select 55,Budweiser,Domestic,2.4,55
Yuengling Ale,D.G. Yuengilng,Domestic,5,145
Yuengling Porter,D.G. Yuengilng,Domestic,4.5,150
